Air District Name,Regulation,Rules,RuleType,Stringency,OriginalAdoptionDate,CurrentActionType,CurrentActionDate,Effective Date,SourceType,Applicability,Pollutants,Regulatory Text,Regulatory Text Underline Strikeout,Staff Report,Board Package
Amador APCD,2: Prohibitions,205: Nuisance,Prohibitory,Unknown,6/15/1979 0:00:00,Amend,3/27/1979 0:00:00,11/11/1900,General,All,All Pollutants,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID11.html,,,
Amador APCD,2: Prohibitions,206: Incinerator Burning,Prohibitory,Unknown,3/27/1979 0:00:00,Amend,3/27/1979 0:00:00,11/11/1900,General,All,All Emissions,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID12.html,,,
Amador APCD,2: Prohibitions,207: Particulate Matter,Prohibitory,Unknown,6/15/1975 0:00:00,Amend,3/27/1979 0:00:00,11/11/1900,General,All,PM,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID13.html,,,
Amador APCD,2: Prohibitions,207.1: Asphalt Concrete Plants,Prohibitory,Unknown,4/20/1999 0:00:00,Adopt,4/20/1999 0:00:00,11/11/1900,Point,All,PM,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID14.html,,,
Amador APCD,2: Prohibitions,208: Orchard Or Citrus Heaters,Prohibitory,Unknown,6/15/1975 0:00:00,Adopt,6/15/1975 0:00:00,11/11/1900,Point,All,PM,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID15.html,,,
Amador APCD,2: Prohibitions,209: Fossil Fuel-Steam Generator Facility,Prohibitory,Unknown,6/15/1975 0:00:00,Amend,3/27/1979 0:00:00,11/11/1900,Point,All,"NOX, PM, SOX",https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID16.html,,,
Amador APCD,2: Prohibitions,210: Specific Contaminants,Prohibitory,Unknown,6/15/1975 0:00:00,Amend,3/27/1979 0:00:00,11/11/1900,General,All,"NOX, PM, SOX",https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID17.html,,,
Amador APCD,2: Prohibitions,211: Process Weight Per Hour,Prohibitory,Unknown,6/15/1975 0:00:00,Amend,3/27/1979 0:00:00,11/11/1900,General,All,PM,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID18.html,,,
Amador APCD,2: Prohibitions,212: Process Weight Table,Prohibitory,Unknown,6/15/1975 0:00:00,Amend,4/11/1977 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID19.html,,,
Amador APCD,2: Prohibitions,213: Storage Of Petroleum Products,Prohibitory,Unknown,6/15/1975 0:00:00,Amend,3/27/1979 0:00:00,11/11/1900,Point,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID20.html,,,
Amador APCD,2: Prohibitions,214: Reduction Of Animal Matter,Prohibitory,Unknown,6/15/1975 0:00:00,Adopt,6/15/1975 0:00:00,11/11/1900,Point,All,All Emissions,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID21.html,,,
Amador APCD,2: Prohibitions,215: Abrasive Blasting,General,n/a,6/15/1975 0:00:00,Amend,3/27/1979 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID22.html,,,
Amador APCD,2: Prohibitions,216: Enforcement,General,n/a,4/20/1999 0:00:00,Adopt,4/20/1999 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID23.html,,,
Amador APCD,2: Prohibitions,217: Existing Sources,General,n/a,11/11/1900 0:00:00,Amend,11/11/1900 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID24.html,,,
Amador APCD,2: Prohibitions,218: Fugitive Dust Emissions,Prohibitory,Unknown,5/16/2000 0:00:00,Adopt,5/16/2000 0:00:00,11/11/1900,Point,All,PM,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID25.html,,,
Amador APCD,3: Open Burning,300: General,Prohibitory,Unknown,11/11/1900 0:00:00,Amend,12/29/1988 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID26.html,,,
Amador APCD,3: Open Burning,301: Compliance,General,n/a,6/15/1975 0:00:00,Amend,12/29/1988 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID27.html,,,
Amador APCD,3: Open Burning,302: Air Pollution Permit,Prohibitory,Unknown,6/15/1975 0:00:00,Amend,8/29/2006 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID28.pdf,,,
Amador APCD,3: Open Burning,303: Burn Or No-Burn Day,Prohibitory,Unknown,6/15/1975 0:00:00,Amend,12/29/1988 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID29.html,,,
Amador APCD,3: Open Burning,304: Burning Management,Prohibitory,Unknown,6/15/1975 0:00:00,Amend,12/29/1988 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID30.html,,,
Amador APCD,3: Open Burning,305: Minimum Drying Time,Prohibitory,Unknown,6/15/1975 0:00:00,Amend,12/19/1988 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID31.html,,,
Amador APCD,3: Open Burning,306: Burn Plan,Prohibitory,Unknown,6/15/1975 0:00:00,Amend,12/29/1988 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID32.html,,,
Amador APCD,3: Open Burning,307: Agricultural Burning,Prohibitory,Unknown,6/15/1975 0:00:00,Amend,12/29/1988 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID33.html,,,
Amador APCD,3: Open Burning,308: Wildland Vegetation Management Burning,Prohibitory,Unknown,6/15/1975 0:00:00,Amend,12/29/1988 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID34.html,,,
Amador APCD,3: Open Burning,309: Forest Management Burning,General,n/a,6/15/1975 0:00:00,Amend,12/29/1988 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID35.html,,,
Amador APCD,3: Open Burning,310: Range Improvement Burning,Prohibitory,Unknown,6/15/1975 0:00:00,Amend,12/29/1988 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID36.html,,,
Amador APCD,3: Open Burning,311: Miscellaneous Burning,Prohibitory,Unknown,6/15/1975 0:00:00,Amend,4/28/2009 0:00:00,11/11/1900,General,All,All Pollutants,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID37.pdf,,,
Amador APCD,4: Authority To Construct Regulations,400: NSR Requirements for New and Modified Major Sources in Nonattainment Areas,NSR,Unknown,8/20/2019 0:00:00,Amend,1/17/2023 0:00:00,1/17/2023,Point,All,"NOX, VOC",https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID4946.pdf,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID4946ulso.pdf,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID4946sr.pdf,
Amador APCD,4: Authority To Construct Regulations,401: Permit Required,General,n/a,6/15/1975 0:00:00,Amend,6/16/1981 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID38.html,,,
Amador APCD,4: Authority To Construct Regulations,402: Exemptions To Rule 401,General,n/a,6/15/1975 0:00:00,Amend,4/28/2009 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID39.pdf,,,
Amador APCD,4: Authority To Construct Regulations,403: Applications,General,n/a,6/15/1975 0:00:00,Amend,1/8/1980 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID40.html,,,
Amador APCD,4: Authority To Construct Regulations,404: Application Criteria,General,n/a,6/15/1975 0:00:00,Amend,1/8/1980 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID41.html,,,
Amador APCD,4: Authority To Construct Regulations,405: Determination Of Requirements,General,n/a,6/15/1975 0:00:00,Amend,1/8/1980 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID42.html,,,
Amador APCD,4: Authority To Construct Regulations,406: Completeness Of Application,General,n/a,6/15/1975 0:00:00,Amend,6/16/1981 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID43.html,,,
Amador APCD,4: Authority To Construct Regulations,407: Pollutant Modelling,General,n/a,6/15/1975 0:00:00,Amend,1/8/1980 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID44.html,,,
Amador APCD,4: Authority To Construct Regulations,408: Attainment Pollutant Air Quality Analysis,General,n/a,6/15/1975 0:00:00,Amend,1/8/1980 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID45.html,,,
Amador APCD,4: Authority To Construct Regulations,409: Exemptions To Rule 408,General,n/a,6/15/1975 0:00:00,Amend,6/16/1981 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID46.html,,,
Amador APCD,4: Authority To Construct Regulations,410: Calculation Of Emissions,General,n/a,11/11/1900 0:00:00,Amend,6/16/1981 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID47.html,,,
Amador APCD,4: Authority To Construct Regulations,411: Emission Offset Eligibility,General,n/a,11/11/1900 0:00:00,Amend,6/16/1981 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID48.html,,,
Amador APCD,4: Authority To Construct Regulations,412: Emission Reduction Credit,General,n/a,11/11/1900 0:00:00,Amend,6/16/1981 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID49.html,,,
Amador APCD,4: Authority To Construct Regulations,413: Attainment Pollutant Increments,General,n/a,11/11/1900 0:00:00,Amend,6/16/1981 0:00:00,11/11/1900,General,All,"Hydrocarbons, Lead, NOX, O3, PM, SOX",https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID50.html,,,
Amador APCD,4: Authority To Construct Regulations,414: Sources Impacting Class I Areas,General,n/a,11/11/1900 0:00:00,Amend,6/16/1981 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID51.html,,,
Amador APCD,4: Authority To Construct Regulations,415: Attainment Pollutant Increment Consumption,General,n/a,11/11/1900 0:00:00,Amend,6/16/1981 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID52.html,,,
Amador APCD,4: Authority To Construct Regulations,416: Violation Of National Ambient Air Quality Standards,Federal,Unknown,1/8/1980 0:00:00,Adopt,1/8/1980 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID53.html,,,
Amador APCD,4: Authority To Construct Regulations,418: Attainment Pollutant Control Technology,General,n/a,11/11/1900 0:00:00,Amend,6/16/1981 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID54.html,,,
Amador APCD,4: Authority To Construct Regulations,419: Nonattainment Pollutant Air Quality Analysis,General,n/a,11/11/1900 0:00:00,Amend,1/8/1980 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID55.html,,,
Amador APCD,4: Authority To Construct Regulations,420: Exemptions To Rule 419,General,n/a,11/11/1900 0:00:00,Amend,1/8/1980 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID56.html,,,
Amador APCD,4: Authority To Construct Regulations,421: Contribution To Violation Of National Ambient Air Quality Standard,Federal,Unknown,11/11/1900 0:00:00,Amend,1/8/1980 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID57.html,,,
Amador APCD,4: Authority To Construct Regulations,422: Exemptions To Rule 421,General,n/a,11/11/1900 0:00:00,Amend,1/8/1980 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID58.html,,,
Amador APCD,4: Authority To Construct Regulations,423: Power Plants,General,n/a,11/11/1900 0:00:00,Amend,1/8/1980 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID59.html,,,
Amador APCD,4: Authority To Construct Regulations,424: Authority To Construct Decision,General,n/a,1/8/1980 0:00:00,Amend,8/25/1998 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID60.html,,,
Amador APCD,4: Authority To Construct Regulations,425: Cancellation Of Authority To Construct,General,n/a,11/11/1900 0:00:00,Amend,1/8/1980 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID61.html,,,
Amador APCD,4: Authority To Construct Regulations,426: Transfer Of Authority To Construct,General,n/a,11/11/1900 0:00:00,Amend,11/11/1900 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID62.html,,,
Amador APCD,4: Authority To Construct Regulations,427: Regulating Construction Or Reconstruction Of Major Sources Of Hazardous Air Pollutants (Federal Clean Air Act Section 112(g)),Federal,Unknown,6/30/1998 0:00:00,Adopt,6/30/1998 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID63.html,,,
Amador APCD,4: Authority To Construct Regulations,428: Emissions Statements,General,n/a,3/16/2021 0:00:00,Adopt,3/16/2021 0:00:00,3/16/2021,Point,All,"NOX, ROG/ROC, VOC",https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID4706.pdf,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID4706sr.pdf,
Amador APCD,5: Permit To Operate Regulations,500: Procedures For Issuing Permits To Operate For Sources Subject To Title V Of The Federal Clean Air Act Amendments Of 1990,Federal,Unknown,10/5/1993 0:00:00,Amend,3/27/2001 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID64.html,,,
Amador APCD,5: Permit To Operate Regulations,501: Permit Required,General,n/a,6/15/1975 0:00:00,Amend,9/12/1996 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID65.html,,,
Amador APCD,5: Permit To Operate Regulations,502: Exemptions To Rule 501,General,n/a,6/15/1975 0:00:00,Amend,9/12/1996 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID66.html,,,
Amador APCD,5: Permit To Operate Regulations,503: Applications,General,n/a,6/15/1975 0:00:00,Amend,9/12/1996 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID67.html,,,
Amador APCD,5: Permit To Operate Regulations,504: Action On Applications,General,n/a,6/15/1975 0:00:00,Amend,9/12/1996 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID68.html,,,
Amador APCD,5: Permit To Operate Regulations,505: Conditional Approval,General,n/a,6/15/1975 0:00:00,Amend,9/12/1996 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID69.html,,,
Amador APCD,5: Permit To Operate Regulations,506: Denial Of Application,General,n/a,6/15/1975 0:00:00,Amend,9/12/1996 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID70.html,,,
Amador APCD,5: Permit To Operate Regulations,507: Responsibility,General,n/a,6/15/1975 0:00:00,Amend,9/12/1996 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID71.html,,,
Amador APCD,5: Permit To Operate Regulations,508: Posting Of Permit To Operate,General,n/a,6/15/1975 0:00:00,Amend,9/12/1996 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID72.html,,,
Amador APCD,5: Permit To Operate Regulations,509: Authority To Inspect,General,n/a,6/15/1975 0:00:00,Amend,9/12/1996 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID73.html,,,
Amador APCD,5: Permit To Operate Regulations,510: Separation Of Emissions,General,n/a,6/15/1975 0:00:00,Amend,9/12/1996 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID74.html,,,
Amador APCD,5: Permit To Operate Regulations,511: Combination Of Emissions,General,n/a,6/15/1975 0:00:00,Amend,9/12/1996 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID75.html,,,
Amador APCD,5: Permit To Operate Regulations,512: Circumvention,General,n/a,6/15/1975 0:00:00,Amend,9/12/1996 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID76.html,,,
Amador APCD,5: Permit To Operate Regulations,513: Source Recordkeeping,General,n/a,6/15/1975 0:00:00,Amend,9/12/1996 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID77.html,,,
Amador APCD,5: Permit To Operate Regulations,514: Public Records And Trade Secrets,General,n/a,6/15/1975 0:00:00,Amend,9/12/1996 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID78.html,,,
Amador APCD,5: Permit To Operate Regulations,515: Provision Of Sampling And Testing Facilities,General,n/a,6/15/1975 0:00:00,Amend,9/12/1996 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID79.html,,,
Amador APCD,5: Permit To Operate Regulations,516: Breakdown Conditions,General,n/a,11/11/1900 0:00:00,Amend,7/28/1998 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID80.html,,,
Amador APCD,5: Permit To Operate Regulations,517: Transfer,General,n/a,1/8/1980 0:00:00,Amend,9/12/1996 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID81.html,,,
Amador APCD,5: Permit To Operate Regulations,518: Revocation Of A Permit To Operate,General,n/a,1/8/1980 0:00:00,Amend,9/12/1996 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID82.html,,,
Amador APCD,5: Permit To Operate Regulations,519: Appeals,General,n/a,11/11/1900 0:00:00,Amend,9/12/1996 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID83.html,,,
Amador APCD,5: Permit To Operate Regulations,520: Reinstatement,General,n/a,11/11/1900 0:00:00,Amend,9/12/1996 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID84.html,,,
Amador APCD,5: Permit To Operate Regulations,521: Annual Renewal,General,n/a,11/11/1900 0:00:00,Amend,9/12/1996 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID85.html,,,
Amador APCD,5: Permit To Operate Regulations,522: Request For Synthetic Minor Source Status,General,n/a,12/5/1995 0:00:00,Amend,12/5/1995 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID86.html,,,
Amador APCD,5: Permit To Operate Regulations,523: Limit Potential To Emit,Prohibitory,Unknown,12/5/1995 0:00:00,Amend,12/5/1995 0:00:00,11/11/1900,Point,All,"1,1,2,2-Tetrachloroethane, HAPs, Methyl Chloroform, Methylene Chloride, NOX, Perchloroethylene, Trichloroethylene, VOC",https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID87.html,,,
Amador APCD,5: Permit To Operate Regulations,524: Notice To Comply,General,n/a,6/30/1998 0:00:00,Adopt,6/30/1998 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID88.html,,,
Amador APCD,6: Fees,600: Filing Fee,General,n/a,12/30/1986 0:00:00,Amend,7/22/2008 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID89.pdf,,,
Amador APCD,6: Fees,601: Permit Fee,General,n/a,12/30/1986 0:00:00,Amend,7/22/2008 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID90.pdf,,,
Amador APCD,6: Fees,602: Permit Fee Penalty,General,n/a,11/11/1900 0:00:00,Amend,6/25/1991 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID91.html,,,
Amador APCD,6: Fees,603: Permit Granted By Hearing Board,General,n/a,6/15/1975 0:00:00,Amend,12/30/1986 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID92.html,,,
Amador APCD,6: Fees,604: Revising Permit Conditions,General,n/a,11/11/1900 0:00:00,Amend,6/25/1991 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID93.html,,,
Amador APCD,6: Fees,605: Analysis Fees,General,n/a,11/11/1900 0:00:00,Amend,6/25/1991 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID94.html,,,
Amador APCD,6: Fees,606: Technical Reports,General,n/a,11/11/1900 0:00:00,Amend,6/25/1991 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID95.html,,,
Amador APCD,6: Fees,607: Hearing Board Fees,General,n/a,11/11/1900 0:00:00,Amend,6/25/1991 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID96.html,,,
Amador APCD,6: Fees,608: Change Of Ownership,General,n/a,11/11/1900 0:00:00,Amend,6/25/1991 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID97.html,,,
Amador APCD,6: Fees,609: Miscellaneous Fees,General,n/a,11/11/1900 0:00:00,Amend,6/25/1991 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID98.html,,,
Amador APCD,6: Fees,610: AB2588 - Air Toxics Hot Spots Program Fees,General,n/a,11/11/1900 0:00:00,Amend,6/10/1998 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID99.html,,,
Amador APCD,6: Fees,611: Emission Reduction Credit Program Fees,General,n/a,1/23/2001 0:00:00,Adopt,1/23/2001 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID100.html,,,
Amador APCD,7: Procedure Before The Hearing Board,700: Applicable Articles Of The Health And Safety Code,General,n/a,3/27/1979 0:00:00,Amend,3/27/1979 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID101.html,,,
